pmid,decision,layer,reason,citation_chase,language_exclude
765284,exclude,none,mouse salivary antibody immunology; not diagnostic,no,no
91283,exclude,none,Antigen reagent development; not clinical diagnosis,no,yes
49392,exclude,none,Not typhoid; Bordetella pertussis antigen study,no,no
4737981,exclude,none,Immunology mechanism study; not diagnostic,no,no
4928011,exclude,none,Bacterial genetics recombination study,no,no
5724965,exclude,none,Not typhoid; staphylococcal enterotoxin study,no,no
30145252,exclude,none,Gene regulation molecular mechanism study,no,no
27761429,exclude,none,Plasmid gene function molecular study,no,no
23330551,exclude,none,AMR epidemiology molecular typing; not diagnostic,no,no
21341534,exclude,none,In vitro apoptosis mechanism study,no,no
19878715,exclude,none,Vaccine candidate development in rabbits; no positivity,no,no
19130491,exclude,none,Biochemical lipid A analytical method study,no,no
16216636,exclude,none,soil bioremediation genotoxicity; not typhoid,no,no
15317794,exclude,none,genomic microarray serovar typing; not diagnostic,no,no
12089607,exclude,none,rabbit pyrogen fever study; not human diagnostic,no,no
1388838,exclude,none,cholera vaccine mucosal immunity review; not typhoid,no,no
357679,exclude,none,plasmid pili serotyping; unrelated to typhoid diagnosis,no,no
696087,exclude,none,Russian language; flagellin hemagglutination reagent development,no,yes
183429,exclude,none,Russian language; Salmonella L-form characterization study,no,yes
5026855,exclude,none,generic antigen lymphocyte immunology; not typhoid specific,no,no
13687195,exclude,none,bacterial mating genetics hybrids; not diagnostic,no,no
18034866,exclude,none,Vi capsule TLR4 pathogenesis mechanism; not diagnostic,no,no
7117423,exclude,none,mouse LPS splenic CFU study; not diagnostic,no,no
39341826,exclude,none,ClyA virulence factor secretion mechanism; not diagnostic,no,no
23594418,exclude,none,endotoxemia mortality prognosis; not culture or case definition,no,no
23178046,exclude,none,non-typhoidal veterinary outbreak; molecular typing only,no,no
22343301,exclude,none,gene cluster transcriptional regulation; molecular biology,no,no
21398529,exclude,none,CRISPR/Cas operon regulation; molecular biology,no,no
19589805,exclude,none,genomic island bioinformatics method; not typhoid specific,no,no
19426448,exclude,none,promoter motif bioinformatics; not diagnostic,no,no
19259362,exclude,none,single MDR case report; no denominator,no,no
16489221,exclude,none,nucleoside transport gene function; molecular biology,no,no
15557633,exclude,none,live-vector vaccine immunogenicity mice; no positivity data,no,no
12183559,exclude,none,vaccine immunogenicity mice; not diagnostic,no,no
12065485,exclude,none,vaccine trial immunogenicity volunteers; no positivity data,no,no
10614695,exclude,none,PCB immunotoxicity splenocytes; not typhoid,no,no
9219554,exclude,none,Ames mutagenicity biomonitoring assay; not typhoid disease,no,no
1692364,exclude,none,Russian language; otherwise blood-culture yield method,no,yes
2642532,exclude,none,NK cell antibacterial mechanism; not typhoid specific,no,no
6378078,exclude,none,Russian language; Salmonella plasmid resistance epidemiology,no,yes
1106729,exclude,none,Italian language; mouse bactericidal immunology study,no,yes
807274,exclude,none,complement C6 deficiency case study; not diagnostic,no,no
14164481,exclude,none,endotoxin tolerance physiology volunteers; not diagnostic,no,no
36748517,exclude,none,AMR plasmid genomics characterization; not diagnostic,no,no
36731236,exclude,none,food-safety bacterial capture method; not clinical diagnosis,no,no
26907990,exclude,none,genomic island prediction tool; bioinformatics,no,no
25749454,exclude,none,innate immune receptor review; pathogenesis not diagnostic,no,no
24421037,exclude,none,mouse colitis neutrophil immunology; non-typhoidal,no,no
20382859,exclude,none,EPC mobilization RCT; vaccination as inflammation model,no,no
19794055,exclude,none,endotoxemia detection meta-analysis; not culture or case definition,yes,no
18996651,exclude,none,swine shedding genetics; veterinary non-typhoidal,no,no
16919987,exclude,none,mouse tumor vaccine model; not diagnostic,no,no
16423041,exclude,none,mouse porin antibody memory; not diagnostic,no,no
15126450,exclude,none,porin gene transcriptional regulation; molecular biology,no,no
10193329,maybe,L2,Widal versus immunoblotting serology; diagnostic accuracy adjacent,no,no
8250575,exclude,none,environmental PCR viability method; no typhoid mention,no,no
2519452,exclude,none,HIV special population case report; no denominator,no,no
6506938,exclude,none,Russian language; influenza vaccine endotoxin assay,no,yes
1194858,exclude,none,macrophage tumor cytotoxicity mechanism; not typhoid specific,no,no
4169543,exclude,none,generic bacterial staining method; not typhoid,no,no
14078002,exclude,none,rabbit pyrogen tolerance mechanism; not Salmonella specific,no,no
14107751,exclude,none,gonorrhea fluorescent antibody method; not typhoid,no,no
3080895,exclude,none,Rat model; not typhoid or Salmonella,no,no
25000398,exclude,none,Mouse model; no human diagnostic data,no,no
7523943,exclude,none,Ames mutagenicity assay; not clinical typhoid,no,no
4225,exclude,none,Mouse endotoxin model; not clinical,no,no
33526848,exclude,none,Mouse coinfection model; not human,no,no
1590461,exclude,none,Rat aorta endotoxin model; not typhoid clinical,no,no
39326804,exclude,none,In vitro biofilm and computational study; no diagnostics,no,no
37272185,exclude,none,C elegans metabolomics; not human diagnostic,no,no
34462572,exclude,none,Mouse T cell memory study; not clinical,no,no
32788681,exclude,none,Ex vivo epigenetics; no diagnostic content,no,no
31412039,exclude,none,In vitro organotypic immune model; not clinical,no,no
31009521,exclude,none,Proteomics of intracellular Salmonella; molecular,no,no
28334040,exclude,none,Mouse macrophage co-infection study; not clinical,no,no
27456828,exclude,none,Mouse erythropoiesis mechanism study,no,no
27334743,exclude,none,Biosensor tool development; not disease diagnostic,no,no
26310179,exclude,none,Non-English; flagellar export system review,no,yes
25560018,exclude,none,Environmental water Salmonella phenotyping; not clinical,no,no
24632525,exclude,none,Pig model; not human,no,no
23831136,exclude,none,In vitro antibacterial peptide MIC testing,no,no
23735462,exclude,none,Human lung cells; unrelated PAH toxicology,no,no
23721095,exclude,none,Mouse tumor model using Salmonella vector,no,no
23645603,exclude,none,Vaccine strain acid-resistance engineering; molecular,no,no
23306672,exclude,none,Fur regulator molecular mechanism study,no,no
23036836,exclude,none,Bioinformatics entropy method paper,no,no
23028876,exclude,none,SPI-2 effector SNP pathogenesis mechanism,no,no
22591832,exclude,none,Review of carrier molecular biology; special population,no,no
22579995,exclude,none,Plasmid instability molecular biology,no,no
21220997,exclude,none,Sheep endotoxemia fluid resuscitation study,no,no
21098104,exclude,none,Mouse complement clearance mechanism study,no,no
20932087,exclude,none,Lab food safety VBNC study; not clinical,no,no
20846899,exclude,none,Molecular epidemiology methods review,no,no
20146749,exclude,none,Comparative genomics review; no diagnostics,no,no
19884333,exclude,none,Mouse vaccine vector immunogenicity; no positivity,no,no
19459960,exclude,none,Yeast genetic screen for effectors; molecular,no,no
18566147,exclude,none,AMR ESBL gene surveillance in isolates,no,no
18226587,exclude,none,Molecular evolution review of virulence genes,no,no
19745516,exclude,none,Vi polysaccharide regulation review; molecular,no,no
18070030,exclude,none,Mouse adjuvant vaccine immunogenicity study,no,no
17875635,exclude,none,Mouse cytokine immunity mechanism study,no,no
17660285,exclude,none,Ribosomal protein frameshift molecular genetics,no,no
17579017,exclude,none,TLR9 immunostimulation basic immunology,no,no
17371801,exclude,none,NAT enzyme structure modeling; unrelated,no,no
16831216,exclude,none,Mouse macrophage apoptosis mechanism study,no,no
16091431,exclude,none,Mouse immunogenicity of outer-membrane proteins,no,no
15743936,exclude,none,Operon repressor molecular biology; unrelated,no,no
15380256,exclude,none,AMR integron gene detection in isolates,no,no
15279750,exclude,none,Single case report; no denominator,no,no
15135528,exclude,none,Antigen gene cloning molecular biology,no,no
12949092,exclude,none,Fimbriae polysaccharide structural biology,no,no
12789775,exclude,none,Non-English; disinfectant lab testing,no,yes
