"pmid","decision","layer","reason","citation_chase","language_exclude"
"994201","exclude","none","leukemia epidemiology; typhoid only incidental","no","no"
"21880039","exclude","none","corticosteroid survival umbrella review off-topic","no","no"
"40241726","exclude","none","water contamination predictive modeling review Global South","no","no"
"26002998","exclude","none","poultry trade network Kenya fowl typhoid","no","no"
"38795636","exclude","none","Salmonella phage biocontrol cherry tomato non-typhoid","no","no"
"29059681","exclude","none","phillyrin neutrophil inflammation zebrafish","no","no"
"17893133","exclude","none","Salmonella dam mutant mice proinflammatory genes","no","no"
"10732430","exclude","none","vaccine technology review typhoid oral vaccine","no","no"
"2686426","exclude","none","IV ciprofloxacin serious infections treatment few typhoid","no","no"
"38903365","exclude","none","negative-pressure wound therapy intestinal perforation enteric fever","no","no"
"37920657","exclude","none","WASH water contamination Ethiopia typhoid waterborne","no","no"
"31935266","exclude","none","out-of-pocket health expenditure Bangladesh cost typhoid","no","no"
"40746427","exclude","none","in silico HLA vaccine antigen Gulf War","no","no"
"29449781","exclude","none","WGS MDR Salmonella Typhimurium poultry humans","no","no"
"21177290","exclude","none","anti-TNF opportunistic infections registry non-typhoid","no","no"
"6537569","exclude","none","primary health care title only no typhoid","no","no"
"7182351","exclude","none","infant mortality India title only","no","no"
"40854843","exclude","none","AI tropical fever diagnosis systematic review protocol","no","no"
"39164561","exclude","none","latrine contamination E coli Fiji WASH","no","no"
"37568232","exclude","none","herbal tea use survey Cameroon typhoid treatment","no","no"
"31931258","exclude","none","Salmonella Dublin virulence Brazil non-typhoid molecular","no","no"
"31553624","exclude","none","fitness vascular function typhoid vaccine inflammation model","no","no"
"31477044","exclude","none","spatio-temporal notifiable intestinal disease distribution China","no","no"
"29989045","exclude","none","perioperative mortality LMIC systematic review surgical off-topic","no","no"
"20075274","exclude","none","Salmonella Gallinarum chicken prevalence fowl typhoid","no","no"
"40353204","exclude","none","Salmonella Stanley case report cholecystitis non-typhoidal","no","no"
"38419222","exclude","none","azithromycin AMR COVID drug utilization Pakistan","no","no"
"38101861","exclude","none","intravesical Ty21a bladder cancer immunotherapy","no","no"
"36617576","exclude","none","ethnobotanical medicinal plants Ethiopia typhoid ailment","no","no"
"33640781","exclude","none","Gegen Qinlian decoction ulcerative colitis mice","no","no"
"33593767","exclude","none","POPVAC rationale three trials vaccine immunomodulation","no","no"
"25560006","exclude","none","HIV opportunistic co-infections Mumbai special population","no","no"
"19091138","exclude","none","Salmonella Enteritidis fimbriae chicken colonisation molecular","no","no"
"12280141","exclude","none","nation-wide immunization India title only","no","no"
"38071735","exclude","none","vaccine-associated anaphylaxis pharmacovigilance typhoid vaccine","no","no"
"33593769","exclude","none","POPVAC malaria IPT vaccine response protocol","no","no"
"29067074","exclude","none","dengue hepatic involvement Pakistan typhoid excluded","no","no"
"24821081","exclude","none","FIFA World Cup travel disease review Brazil","no","no"
"6313809","exclude","none","sickle cell disease infection review non-typhoid","no","no"
"32809306","exclude","none","water distribution microbial ecology colloquium report","no","no"
"41122406","exclude","none","marine exopolysaccharide antimicrobial screen S typhi","no","no"
"22182644","exclude","none","plant antibacterial screen S typhi","no","no"
"40399773","exclude","none","silver nanoparticle Candida green synthesis AMR","no","no"
"37687260","exclude","none","silver nanoparticle Perilla antibacterial anticancer screen","no","no"
"26784029","exclude","none","WHO foodborne source attribution expert elicitation","no","no"
"41684576","exclude","none","exopolysaccharide Bacillus antimicrobial screen S typhi","no","no"
"38195501","exclude","none","splenic implantation RCT protocol typhoid Vi vaccine","no","no"
"27180838","exclude","none","spongeweed silver nanoparticle antiplasmodial mosquito","no","no"
"36365337","exclude","none","Australian flora bioassay fractionation antimicrobial screen","no","no"
"35009019","exclude","none","Thymus essential oil antimicrobial screen","no","no"
"31847595","exclude","none","ZnO nanoparticle contact lens antimicrobial","no","no"
"17497020","exclude","none","metal complex antibacterial antifungal screen","no","no"
"36404741","exclude","none","Etlingera antioxidant anti-inflammatory rats typhoid traditional","no","no"
"35069462","exclude","none","colistin resistance Salmonella ST34 meat non-typhoid","no","no"
"31643179","exclude","none","fluoroquinolones drug monograph review typhoid indication","no","no"
"30923521","exclude","none","Ty21a vaccine tissue-resident memory T cells","no","no"
"26884434","exclude","none","Salmonella suppresses interferon macrophage molecular","no","no"
"39424574","exclude","none","schistosome malaria vaccine response mediation Uganda","no","no"
"39171515","exclude","none","vaccine-associated rheumatic disease pharmacovigilance typhoid","no","no"
"38688354","exclude","none","TCM decoction dysbiosis network pharmacology mice","no","no"
"40111964","exclude","none","unimproved drinking water spatial analysis East Africa","no","no"
"38783823","exclude","none","vaccine-associated facial paralysis pharmacovigilance typhoid","no","no"
"34098467","exclude","none","ESBL Salmonella retail fish Egypt non-typhoid","no","no"
"33645139","exclude","none","TCM COVID treatment strategy Chinese typhoid concept","no","no"
"23899336","maybe","L3","tropical fever etiology South India typhoid confirmed","no","no"
"17118191","exclude","none","micronutrient colostrum immune function typhoid vaccine","no","no"
"9302446","exclude","none","HIV opportunistic disease Abidjan non-typhoid special population","no","no"
"31548898","exclude","none","older travellers travel clinic typhoid vaccination","no","no"
"40006538","exclude","none","bee venom nanofilm antimicrobial screen S typhi","no","no"
"34361617","exclude","none","Elaeagnus antioxidant antibacterial antidiabetic rats","no","no"
"8670107","exclude","none","quinate pathway Aspergillus metabolic flux enzyme","no","no"
"39814844","exclude","none","Zn-MnO nanocomposite antibacterial antibiofilm screen","no","no"
"26929583","exclude","none","marine Streptomyces antibacterial cytotoxicity screen","no","no"
"40907249","exclude","none","iNTS-GMMA non-typhoidal Salmonella vaccine trial","no","no"
"15919626","exclude","none","intestinal parasitoses village Ivory Coast WASH","no","no"
"11537307","exclude","none","radiation tissue response mice typhoid vaccine probe","no","no"
"35689279","exclude","none","acute diarrhea burden Thai children typhoid incidental","no","no"
"38859751","exclude","none","vaccine-associated myocarditis pericarditis pharmacovigilance typhoid","no","no"
"27353868","exclude","none","Drypetes phytochemistry pharmacology review typhoid traditional","no","no"
"21453973","exclude","none","FUO juvenile rheumatoid arthritis case report","no","no"
"23245604","exclude","none","GBD 2010 global mortality causes typhoid modeling","no","no"
"35356526","exclude","none","Berberis extract antimicrobial anticancer screen S typhi","no","no"
"23031266","exclude","none","polyherbal gastric ulcer rat antibacterial screen","no","no"
"38064300","exclude","none","medical outreach Nigeria enteric fever clinical unconfirmed","no","no"
"24893349","exclude","none","biopesticide Calceolaria antibacterial screen S typhi","no","no"
"39367477","exclude","none","community-based intervention infectious disease systematic review off-topic","no","no"
"40536105","exclude","none","Salmonella beta-alanine macrophage replication molecular","no","no"
"39754141","exclude","none","adolescent anemia determinants Douala typhoid incidental","no","no"
"37595813","exclude","none","Oliveria decumbens biological antibacterial screen S typhi","no","no"
"38863260","exclude","none","vaccine-induced thrombotic thrombocytopenia pharmacovigilance typhoid","no","no"
"38234699","exclude","none","India adolescent health strategy disease burden GBD","no","no"
"28982343","exclude","none","G6PD deficiency Egyptian study typhoid hemolysis trigger","no","no"
"39424572","exclude","none","POPVAC malaria IPT vaccine response RCT","no","no"
"19868726","exclude","none","historical bacterial hypersusceptibility immunochemistry typhoid guinea pig","no","no"
"29630269","exclude","none","bioterrorism review typhoid water poisoning historical","no","no"
"2655632","exclude","none","diarrheal disease control ORT review","no","no"
