"pmid","title","language","decision","layer","reason","citation_chase","language_exclude"
"17158898","SseL is a salmonella-specific translocated effector integrated into the  SsrB-controlled salmonella pathogenicity island 2 type III secretion system.","eng","exclude","none","SseL Salmonella effector SPI2; molecular murine","no","no"
"1715952","[A false positive reaction to lactose in polycarbohydrate media].","rus","exclude","none","Russian language","no","yes"
"17160808","[Co-existence of Kala-azar and salmonellosis in a 16 month-old baby? Or a false  positive widal reaction in Kala-azar?].","tur","exclude","none","Turkish language kala-azar false-positive Widal case report","no","yes"
"17164172","Increasing prevalence of Salmonella enterica serotype Paratyphi-A in patients  with enteric fever in a periurban slum setting of Kolkata, India.","eng","exclude","none","paratyphi A incidence AMR trend; no positivity","no","no"
"1716810","In vivo evidence of immunological masking of the Vibrio cholerae O antigen of a  hybrid Salmonella typhi Ty21a-Vibrio cholerae oral vaccine in humans.","eng","exclude","none","hybrid vaccine immunological masking; vaccine","no","no"
"17176854","[An epidemiological study of outbreaks of Salmonella enterica serovar paratyphi A  occurred in two Chinese families after traveled to different areas of China].","jpn","exclude","none","Japanese paratyphoid outbreak not eligible language","no","yes"
"17178790","Role of RpoS in fine-tuning the synthesis of Vi capsular polysaccharide in  Salmonella enterica serotype Typhi.","eng","exclude","none","Vi polysaccharide regulation; molecular","no","no"
"17194027","Antibacterial Co(II), Ni(II), Cu(II) and Zn(II) complexes of Schiff bases derived  from fluorobenzaldehyde and triazoles.","eng","exclude","none","Schiff base metal antibacterial; chemistry","no","no"
"17194608","The effect of the Salmonella genomic island 1 on in vitro global gene expression  in Salmonella enterica serovar Typhimurium LT2.","eng","exclude","none","genomic island gene expression; molecular","no","no"
"1720777","Epitope mapping of four monoclonal antibodies recognizing the hexose core domain  of Salmonella lipopolysaccharide.","eng","exclude","none","LPS epitope mapping antibodies; molecular only","no","no"
"17209308","Bacterial isolates of blood cultures in patients with suspected septicaemia in  Ilorin, Nigeria.","eng","exclude","none","general septicaemia bacteriology; typhoid incidental 0.48%","no","no"
"17213701","Molecular typing by random amplification of polymorphic DNA (RAPD) and detection  of virulence genes of Salmonella enterica subspecies enterica serovar Gallinarum biovar gallinarum.","eng","exclude","none","fowl typhoid RAPD typing animal","no","no"
"17217002","Chloramphenicol drug failure in typhoid fever.","eng","exclude","none","chloramphenicol failure; confirmed cases AMR","no","no"
"17217005","Prevalence of antibiotic resistance among Egyptian Salmonella typhi strains.","eng","exclude","none","AMR prevalence among isolates; no diagnostic accuracy","no","no"
"17219928","Sanitation characteristics of some food processing industries.","eng","exclude","none","food-industry sanitation; paratyphi carrier incidental","no","no"
"17220752","Fever after a stay in the tropics: diagnostic predictors of the leading tropical  conditions.","eng","exclude","none","returning-traveler febrile cohort; special population","no","no"
"17222483","Organoiodine(III) mediated synthesis of 3,9-diaryl- and  3,9-difuryl-bis-1,2,4-triazolo[4,3-a][4,3-c]pyrimidines as antibacterial agents.","eng","exclude","none","organoiodine triazolo antimicrobial synthesis; not diagnostic","no","no"
"17224205","Synthesis and characterization of cobalt(II), nickel(II), copper(II) and zinc(II)  complexes with Schiff base derived from 4-amino-3-mercapto-6-methyl-5-oxo-1,2,4-triazine.","eng","exclude","none","metal complexes antimicrobial screening","no","no"
"17235649","Ciprofloxacin therapy for typhoid fever needs reconsideration.","eng","exclude","none","ciprofloxacin MIC of stock isolates","no","no"
"17244813","Ciprofloxacin treatment failure in a case of typhoid fever caused by Salmonella  enterica serotype Paratyphi A with reduced susceptibility to ciprofloxacin.","eng","exclude","none","ciprofloxacin treatment failure case report","no","no"
"17252947","In-vitro antibacterial, antifungal and cytotoxic activity of cobalt (II), copper  (II), nickel (II) and zinc (II) complexes with furanylmethyl- and thienylmethyl-dithiolenes: [1, 3-dithiole- 2-one and 1,3-dithiole-2-thione].","eng","exclude","none","dithiolene metal complex antibacterial; chemistry","no","no"
"17252949","Some bivalent metal complexes of Schiff bases containing N and S donor atoms.","eng","exclude","none","Schiff base metal complexes chemistry","no","no"
"17252952","In-vitro antibacterial, antifungal and cytotoxic properties of metal-based  furanyl derived sulfonamides.","eng","exclude","none","sulfonamide metal complex antibacterial; test strain","no","no"
"1726337","Studies on the 52 kDa antigen of Salmonella typhi: physicochemical stability,  purification by affinity chromatography and immunochemical specificity.","eng","exclude","none","antigen purification; molecular characterization","no","no"
"17264451","Multidrug-resistant typhoid fever.","eng","exclude","none","RCT treatment in culture-proven typhoid; no accuracy","no","no"
"17291961","The emergence of antibiotic resistance in typhoid fever.","eng","exclude","none","Narrative review of antibiotic resistance history","no","no"
"17297206","Open study on efficacy and tolerability of ciprofloxacin XR compared with  ciprofloxacin BID in the treatment of typhoid fever.","eng","exclude","none","ciprofloxacin treatment efficacy trial; no diagnostic accuracy","no","no"
"17298925","Salmonella Paratyphi A liver abscess--secondary infection of an amoebic liver  abscess?","eng","exclude","none","case report liver abscess; no diagnostic or positivity data","no","no"
"1730477","Effect of parenteral immunization on the intestinal immune response to Salmonella  typhi Ty21a.","eng","exclude","none","vaccine immune response study","no","no"
"17309853","Antimicrobial susceptibility of Salmonella typhi and non-typhi in a hospital in  eastern Saudi Arabia.","eng","exclude","none","antimicrobial susceptibility study; not diagnostic accuracy","no","no"
"17321180","Culture-confirmed typhoid fever and pregnancy.","eng","exclude","none","special population pregnancy; culture-confirmed only","no","no"
"17338970","Typhoid fever in travelers: Time for reassessment.","eng","exclude","none","travelers fluoroquinolone resistance; no positivity or accuracy","no","no"
"17343181","[Molecular typing of Salmonella paratyphi A isolates from four provinces with  pulse-field gel electrophoresis].","chi","exclude","none","PFGE molecular typing surveillance network; not diagnostic accuracy","no","no"
"17344787","Study on 40 cases of rickettsia.","eng","exclude","none","rickettsia case series; enteric fever association","no","no"
"17347563","Vivotif--a 'magic shield' for protection against typhoid fever and delivery of  heterologous antigens.","eng","exclude","none","vaccine antigen-delivery narrative; no diagnostic content","no","no"
"17349738","Guillain-Barré syndrome associated with Salmonella paratyphi A.","eng","exclude","none","Guillain-Barre with paratyphi case report","no","no"
"17364505","Salmonella infections: immune and non-immune protection with vaccines.","eng","exclude","none","poultry Salmonella vaccine review; not human","no","no"
"17371801","Computational and experimental analyses of mammalian arylamine  N-acetyltransferase structure and function.","eng","exclude","none","NAT enzyme structure modeling; unrelated","no","no"
"17373105","[Imported tropical infections].","cze","exclude","none","non-English tropical infections narrative review","no","yes"
"17374897","Clinical and microbiological investigations of typhoid fever in an infectious  disease hospital in Kuwait.","eng","exclude","none","descriptive case series plus AMR; no accuracy","no","no"
"17374987","Using attenuated Salmonella typhi as tumor targeting vector for MDR1 siRNA  delivery.","eng","exclude","none","tumor-targeting siRNA vector mouse model","no","no"
"17393659","A new antibacterial compound produced by an indigenous marine  bacteria--fermentation, isolation, and biological activity.","eng","exclude","none","in-vitro antibacterial assay; S typhi test organism only","no","no"
"17410210","DNA damage recognition and repair by 3-methyladenine DNA glycosylase I (TAG).","eng","exclude","none","Enzyme crystal structure study; structural biology only","no","no"
"17426175","Geographical distribution and risk factors associated with enteric diseases in  Vietnam.","eng","exclude","none","Vietnam enteric disease incidence mapping no positivity","no","no"
"17431438","[Reappearance of severe typhoid forms following a case of massive  gastrointestinal haemorrhaging].","spa","exclude","none","Single case report; GI hemorrhage complication","no","no"
"17442354","Brucellosis as a cause of acute febrile illness in Egypt.","eng","exclude","none","Brucellosis febrile illness study; not typhoid-focused","no","no"
"17444068","Uncomplicated falciparum malaria complicated by salmonella septicaemia: cause not  coincidence.","eng","exclude","none","case report malaria salmonella co-infection","no","no"
"17451318","Hemorrhagic fevers: few clues after 25 years.","eng","exclude","none","Ebola serosurvey; Typhi cross-reactivity","no","no"
"17467385","Microbial evaluation of foodservice surfaces in Texas child-care centers.","eng","exclude","none","childcare surface microbiology; environmental not clinical","no","no"
"17477815","Polymorphisms in proinflammatory genes and susceptibility to typhoid fever and  paratyphoid fever.","eng","exclude","none","Host gene polymorphism susceptibility study; no diagnostic content","no","no"
"17483118","Mutagenicity and DNA adduct formation by the urban air pollutant  2-nitrobenzanthrone.","eng","exclude","none","Not typhoid; air pollutant mutagenicity study","no","no"
"17497020","Metal-Based Antibacterial and Antifungal Agents: Synthesis, Characterization, and  In Vitro Biological Evaluation of Co(II), Cu(II), Ni(II), and Zn(II) Complexes With Amino Acid-Derived Compounds.","eng","exclude","none","metal complex antibacterial antifungal screen","no","no"
"17499012","Quantification of a potent mutagenic 4-amino-3,3'-dichloro-5,4'-dinitrobiphenyl  (ADDB) and the related chemicals in water from the Waka River in Wakayama, Japan.","eng","exclude","none","Not typhoid; environmental mutagen chemical assay","no","no"
"17503085","A TNF region haplotype offers protection from typhoid fever in Vietnamese  patients.","eng","exclude","none","TNF haplotype host genetics","no","no"
"1752306","rDNA fingerprinting as a tool in epidemiological analysis of Salmonella typhi  infections.","eng","exclude","none","molecular fingerprinting of outbreak strains","no","no"
"17524573","Genotypic analysis of Salmonella enterica serovar Typhi collected during two  successive autumnal typhoid outbreaks in southeast Tunisia.","eng","exclude","none","Tunisia outbreak isolates PFGE typing; no positivity denominator","no","no"
"17555437","Identification of a transcriptional regulator that controls intracellular gene  expression in Salmonella Typhi.","eng","exclude","none","transcriptional regulator intracellular expression; molecular pathogenesis","no","no"
"17555887","[Breast abscess with Salmonella typhi and review of the literature].","fre","exclude","none","case report breast abscess; no denominator","no","no"
"17556632","Clonal reconquest of antibiotic-susceptible Salmonella enterica serotype Typhi in  Son La Province, Vietnam.","eng","exclude","none","Molecular typing of resistant strains; no positivity data","no","no"
"17568045","Food panics in history: corned beef, typhoid and ""risk society"".","eng","exclude","none","historical social-theory commentary; no diagnostic counts","no","no"
"17576218","Serotyping, PCR, phage-typing and antibiotic sensitivity testing of Salmonella  serovars isolated from urban drinking water supply systems of Nepal.","eng","exclude","none","Salmonella in water serotyping/AMR","no","no"
"17578083","[Mexican studies on Salmonella: epidemiology, vaccines and molecular biology].","spa","exclude","none","broad narrative review; not diagnostic-focused; Spanish allowed","no","no"
"17579017","Cutting edge: natural DNA repetitive extragenic sequences from gram-negative  pathogens strongly stimulate TLR9.","eng","exclude","none","TLR9 immunostimulation basic immunology","no","no"
"17582562","Cell-mediated immunity and antibody responses elicited by attenuated Salmonella  enterica Serovar Typhi strains used as live oral vaccines in humans.","eng","exclude","none","Vaccine immunology review; no positivity data","no","no"
"17582564","Ty21a live oral typhoid vaccine and prevention of paratyphoid fever caused by  Salmonella enterica Serovar Paratyphi B.","eng","exclude","none","vaccine efficacy trial; no diagnostic accuracy","no","no"
"17582567","The use of typhoid vaccines in Asia: the DOMI experience.","eng","exclude","none","typhoid vaccine program overview Asia","no","no"
"17582579","A personal perspective on clinical research in Enteric Fever.","eng","exclude","none","personal perspective enteric fever research","no","no"
"17593957","An open randomized comparison of gatifloxacin versus cefixime for the treatment  of uncomplicated enteric fever.","eng","exclude","none","enteric fever treatment RCT; no diagnostic counts","no","no"
"17596250","Epidemiology and risk factors for endemic typhoid fever in Uzbekistan.","eng","exclude","none","risk-factor case-control study; water exposures; no accuracy","no","no"
"17596427","Type IVB pilus operon promoter controlling expression of the severe acute  respiratory syndrome-associated coronavirus nucleocapsid gene in Salmonella enterica Serovar Typhi elicits full immune response by intranasal vaccination.","eng","exclude","none","Salmonella SARS vaccine vector immunogenicity; no positivity","no","no"
"17611346","Surveillance of communicable diseases in tertiary health care system in  Chandigarh, UT.","eng","exclude","none","communicable disease surveillance; typhoid incidental","no","no"
"17629369","Core-linked LPS expression of Shigella dysenteriae serotype 1 O-antigen in live  Salmonella Typhi vaccine vector Ty21a: preclinical evidence of immunogenicity and protection.","eng","exclude","none","Ty21a Shigella antigen vaccine vector; animal","no","no"
"17639162","A multiplex polymerase chain reaction method for rapid identification of  Citrobacter freundii and Salmonella species, including Salmonella Typhi.","eng","exclude","none","multiplex PCR identification; lab method","no","no"
"17642160","Pattern of widal agglutination reaction in apparently healthy population of Jimma  town, southwest Ethiopia.","eng","exclude","none","Widal baseline titres healthy population; serology","no","no"
"17642505","Phage typing, biotyping & antimicrobial resistance profile of Salmonella enterica  serotype Typhi from Kolkata.","eng","exclude","none","phage typing biotyping AMR; no positivity","no","no"
"17642689","Superiority of DAT over ELISA as a diagnostic and seroepidemiological tool for  the diagnosis of Indian Kala-azar.","eng","exclude","none","Kala-azar diagnostic study; typhoid only control","no","no"
"17642712","Typhoid spine - a case report.","eng","exclude","none","single case report typhoid spine","no","no"
"17648207","Fowl Typhoid: Report of a Recent Outbreak in Ontario.","eng","exclude","none","fowl typhoid animal outbreak","no","no"
"17648820","Salmonellosis. III. Blood Cultures And Agglutination Tests On Chickens Infected  By Mouth With Salmonella Typhi-Murium.","eng","exclude","none","chickens animal blood culture Salmonella Typhimurium; not human","no","no"
"17649352","Nitrofuran Production Efficiency In Chickens.","eng","exclude","none","poultry nitrofuran feed study; veterinary","no","no"
"17657047","Mixed Salmonella infection - a case report.","eng","exclude","none","single mixed-infection case report; no denominator","no","no"
"17657075","Cranial vault Salmonella osteomyelitis leading to extradural abscess - a case  report.","eng","exclude","none","Salmonella osteomyelitis single case report no denominator","no","no"
"17660285","Alterations in the two globular domains or in the connecting alpha-helix of  bacterial ribosomal protein L9 induces +1 frameshifts.","eng","exclude","none","Ribosomal protein frameshift molecular genetics","no","no"
"1766380","PhoP/PhoQ: macrophage-specific modulators of Salmonella virulence?","eng","exclude","none","molecular pathogenesis review; not diagnostic","no","no"
"17664808","Culture of body fluids using the bact/alert system.","eng","exclude","none","BacT/Alert body-fluid culture system; not typhoid-specific","no","no"
"17672128","[Changes in functional activity of macrophages caused by bacterial  muramylpeptides].","rus","exclude","none","non-eligible language","no","yes"
"17673269","Laboratory evaluation of a simple and rapid latex agglutination assay for the  serodiagnosis of typhoid fever.","eng","exclude","none","latex serology accuracy; not culture or clinical definition","no","no"
"176771","[Obtaining the beta-globulin fractions from swine and cattle sera and a study of  their immunological activity].","bul","exclude","none","Bulgarian language excluded","no","yes"
"17678562","Sero-epidemiology as a tool to study the incidence of Salmonella infections in  humans.","eng","exclude","none","non-typhoidal Salmonella seroincidence; not typhoid","no","no"
"17685217","Multiorgan involvement due to Salmonella typhi: case report.","eng","exclude","none","Single case report multiorgan involvement; no denominator","no","no"
"17685355","Outbreaks where food workers have been implicated in the spread of foodborne  disease. Part 1. Description of the problem, methods, and agents involved.","eng","exclude","none","review foodborne outbreaks food workers","no","no"
"17686194","Part I. Analysis of data gaps pertaining to Salmonella enterica serotype Typhi  infections in low and medium human development index countries, 1984-2005.","eng","exclude","none","review of population-based typhoid incidence studies","yes","no"
"17703150","Efficacy of azithromycin in the treatment of childhood typhoid Fever.","eng","exclude","none","Treatment efficacy trial; not diagnostic accuracy","no","no"
"17703161","Results of emergency appendectomy for appendicular mass.","eng","exclude","none","appendectomy surgery enteric fever perforation incidental","no","no"
"17709421","Contribution of the stg fimbrial operon of Salmonella enterica serovar Typhi  during interaction with human cells.","eng","exclude","none","Molecular pathogenesis fimbrial operon; no diagnostic content","no","no"
"17723696","Electronic deoxyribonucleic acid (DNA) microarray detection of viable pathogenic  Escherichia coli, Vibrio cholerae, and Salmonella typhi.","eng","exclude","none","DNA microarray detection method development","no","no"
"17724072","Systemic translocation of Salmonella enterica serovar Dublin in cattle occurs  predominantly via efferent lymphatics in a cell-free niche and requires type III secretion system 1 (T3SS-1) but not T3SS-2.","eng","exclude","none","salmonella dublin cattle pathogenesis basic science","no","no"
"17725620","Evaluation of phoP and rpoS mutants of Salmonella enterica serovar Typhi as  attenuated typhoid vaccine candidates: virulence and protective immune responses in intranasally immunized mice.","eng","exclude","none","attenuated vaccine mutants; mice immunization","no","no"
"17725646","The Salmonella enterica serotype Typhi regulator TviA reduces interleukin-8  production in intestinal epithelial cells by repressing flagellin secretion.","eng","exclude","none","TviA IL-8 pathogenesis molecular; not diagnostic","no","no"
"17728466","Single-nucleotide-polymorphism typing and genetic relationships of Salmonella  enterica serovar Typhi isolates.","eng","exclude","none","SNP typing of S Typhi isolates; genomics","no","no"
"17728470","Clonal expansion and microevolution of quinolone-resistant Salmonella enterica  serotype typhi in Vietnam from 1996 to 2004.","eng","exclude","none","Molecular clonal typing study; no diagnostic accuracy","no","no"
"1774314","Characterization of murine monoclonal antibodies against serogroup B salmonellae  and application as serotyping reagents.","eng","exclude","none","monoclonal serotyping reagents; lab reagent development","no","no"
"17761477","Serodiagnosis of Salmonella enterica serovar Typhi and S. enterica serovars  Paratyphi A, B and C human infections.","eng","exclude","none","serodiagnostic immunoassay development; serology","no","no"
"17768242","Dissecting the Salmonella response to copper.","eng","exclude","none","copper homeostasis molecular biology; not diagnostic","no","no"
"17768473","Antibacterial activity of Eurycoma longifolia Jack. A Malaysian medicinal plant.","eng","exclude","none","Eurycoma longifolia antimicrobial plant screen","no","no"
"17785907","Vertical transmission of Salmonella paratyphi A.","eng","exclude","none","single case report vertical transmission","no","no"
"1778879","Three-day treatment of typhoid fever with two different doses of ceftriaxone,  compared to 14-day therapy with chloramphenicol: a randomized trial.","eng","exclude","none","Ceftriaxone treatment trial no culture yield or case definition","no","no"
"1781005","Randomized treatment of patients with typhoid and paratyphoid fevers using  norfloxacin or chloramphenicol.","eng","exclude","none","Treatment RCT; no diagnostic positivity counts","no","no"
"17852888","Prevalence of Campylobacter jejuni and enteric bacterial pathogens among  hospitalized HIV infected versus non-HIV infected patients with diarrhoea in southern India.","eng","exclude","none","stool diarrheal pathogens HIV population","no","no"
"17873998","Salmonella enterica serovar typhi: molecular analysis of strains with decreased  susceptibility and resistant to ciprofloxacin in India from 2001-2003.","eng","exclude","none","molecular AMR analysis of isolates","no","no"
"17875635","Gamma interferon-independent effects of interleukin-12 on immunity to Salmonella  enterica serovar Typhimurium.","eng","exclude","none","Mouse cytokine immunity mechanism study","no","no"
"17877165","[Study on the safety and immunogenicity of group A + C meningococcal  polysaccharide vaccine].","chi","exclude","none","meningococcal vaccine trial typhoid Vi control","no","no"
"17877224","Antimicrobial susceptibility patterns and phage types of Salmonella typhi from  Vietnam.","eng","exclude","none","AMR susceptibility; phage typing","no","no"
"17878285","Food animal-associated Salmonella challenges: pathogenicity and antimicrobial  resistance.","eng","exclude","none","food-animal Salmonella pathogenicity review; not diagnostics","no","no"
"17883470","Travel-acquired scrub typhus: emphasis on the differential diagnosis, treatment,  and prevention strategies.","eng","exclude","none","scrub typhus review; typhoid differential","no","no"
"17883891","Polymeric drug based on sulfanilamide: synthesis, antimicrobial and drug  releasing studies.","eng","exclude","none","polymer antimicrobial test organism","no","no"
"17888027","Reactive nitrogen intermediates and monokines induce caspase-3 mediated  macrophage apoptosis by anaerobically stressed Salmonella typhi.","eng","exclude","none","Macrophage apoptosis mechanism; pathogenesis not diagnosis","no","no"
"17888533","A semi-automated vibriocidal assay for improved measurement of cholera  vaccine-induced immune responses.","eng","exclude","none","cholera vibriocidal assay; typhi only control","no","no"
"17893133","Comparison of tissue-selective proinflammatory gene induction in mice infected  with wild-type, DNA adenine methylase-deficient, and flagellin-deficient Salmonella enterica.","eng","exclude","none","Salmonella dam mutant mice proinflammatory genes","no","no"
"17901638","Blood cultures in paediatric patients: a study of clinical impact.","eng","exclude","none","general pediatric blood culture yield not typhoid specific","no","no"
"17906841","Acute transverse myelitis secondary to Salmonella paratyphi B infection.","eng","exclude","none","Single case report transverse myelitis; no denominator","no","no"
"17908946","Antimicrobial drug resistance of Salmonella enterica serovar typhi in asia and  molecular mechanism of reduced susceptibility to the fluoroquinolones.","eng","exclude","none","AMR mechanism study; fluoroquinolone resistance; no diagnostics","no","no"
"17911684","A satellite infrastructure for health early warning in post-disaster health  management.","eng","exclude","none","satellite early warning infrastructure","no","no"
"1791334","[Ofloxacin in the treatment of infection caused by Salmonella paratyphi A].","jpn","exclude","none","Japanese language paratyphi treatment case report ineligible","no","yes"
"17917624","Salmonella-a new threat to neonates.","eng","exclude","none","neonatal sepsis etiology; not typhoid-specific positivity","no","no"
"17931727","FACS-isolation of Salmonella-infected cells with defined bacterial load from  mouse spleen.","eng","exclude","none","mouse FACS infection method; not human","no","no"
"17935611","Comparisons of predictors for typhoid and paratyphoid fever in Kolkata, India.","eng","exclude","none","risk-factor GIS surveillance; no positivity or accuracy","no","no"
"17943121","The equilibria that allow bacterial persistence in human hosts.","eng","exclude","none","theoretical bacterial persistence model; not diagnostic","no","no"
"17944327","Identification and quantification of hepatotoxic pyrrolizidine alkaloids in the  Ethiopian medicinal plant Solanecio gigas (Asteraceae).","eng","exclude","none","plant alkaloid chemistry typhoid folk use","no","no"
"1795110","Recent outbreak of chloramphenicol resistant typhoid fever in West Bengal.","eng","exclude","none","outbreak treatment resistance; no suspected confirmed counts","no","no"
"1795626","Serum TNF alpha in mouse typhoid and enhancement of a Salmonella infection by  anti-TNF alpha antibodies.","eng","exclude","none","mouse TNF-alpha infection immunology; not human","no","no"
"17964105","Amplification of ST50 gene using dry-reagent-based polymerase chain reaction for  the detection of Salmonella typhi.","eng","exclude","none","Dry-reagent PCR assay on blood culture broths; molecular panel","no","no"
"17974219","Annual report on surveillance of adverse events following immunisation in  Australia, 2006.","eng","exclude","none","vaccine adverse event surveillance","no","no"
"17975","[Detection of Salmonella antigens in the neutralization reaction (ANR)].","rus","exclude","none","non-English/French/Spanish/Chinese language","no","yes"
"17975028","Translational genomics to develop a Salmonella enterica serovar Paratyphi A  multiplex polymerase chain reaction assay.","eng","exclude","none","Multiplex PCR assay development; molecular not clinical","no","no"
"17976161","A linear plasmid truncation induces unidirectional flagellar phase change in  H:z66 positive Salmonella Typhi.","eng","exclude","none","flagellar phase variation genetics; not diagnostic","no","no"
"1797643","False resistance of salmonellae to trimethoprim-sulphamethoxazole in disc  diffusion method.","eng","exclude","none","disc diffusion false resistance artifact; AMR method","no","no"
"1797669","A clinical profile of multidrug resistant typhoid fever.","eng","exclude","none","clinical profile of confirmed cases; no positivity","no","no"
"1797965","Fatal complications of acute enteric fevers.","eng","exclude","none","fatal-complication series; no case-definition accuracy or positivity","no","no"
"1797971","Rapid diagnosis of non-prolonged febrile illnesses necessitating fever hospital  admission.","eng","exclude","none","febrile workup using agglutination serology; not culture","no","no"
"17995534","Safety of Typhim Vi vaccine in a postmarketing observational study.","eng","exclude","none","vaccine safety study not diagnostic","no","no"
"18009293","THE SIGNIFICANCE OF TYPHOID CARRIERS IN COMMUNITY LIFE, WITH A PRACTICAL METHOD  OF DETECTING THEM.","eng","exclude","none","typhoid carrier detection only","no","no"
"18009489","INOCULATION AGAINST TYPHOID IN MARYLAND.","eng","exclude","none","editorial commentary on inoculation attack-rate","no","no"
"18012630","Longevity of Typhoid Bacilli in Cheddar Cheese : A Study Following an Outbreak of  Typhoid Fever Traced to Cheese.","eng","exclude","none","typhoid bacilli survival in cheese","no","no"
"1801356","The emergence of antimicrobial resistant Salmonella typhi in Qatar: epidemiology  and therapeutic implications.","eng","exclude","none","AMR Salmonella bacteraemia Qatar; confirmed cases","no","no"
"18014590","Standards for Determining the Suitability of Bile Specimens for Detection or  Release of Typhoid Carriers.","eng","exclude","none","bile specimen typhoid carrier detection","no","no"
"18014906","Cultural Methods for the Detection of Typhoid Carriers.","eng","exclude","none","typhoid carrier detection culture methods","no","no"
"18019679","Role of bile bacteria in gallbladder carcinoma.","eng","exclude","none","gallbladder carcinoma Vi antibody carrier not diagnostic","no","no"
"18019680","Epidemiology of hilar cholangiocarcinoma in Egypt: single center study.","eng","exclude","none","cholangiocarcinoma epidemiology chronic typhoid history not diagnostic","no","no"
"1802050","Antityphoid and antitetanic intradermal vaccination of chronic neuropsychic  patients in a typhoid fever outbreak.","eng","exclude","none","vaccination outbreak no positivity","no","no"
"18025549","Cloning, expression, and sequence analysis of diaminopropionate ammonia lyase  gene from a nonvirulent Salmonella typhimurium PU011.","eng","exclude","none","gene cloning molecular","no","no"
"18031087","[Not Available].","eng","exclude","none","oral vaccine mucosal immunology review Salmonella vector","no","no"
"18034866","The Vi-capsule prevents Toll-like receptor 4 recognition of Salmonella.","eng","exclude","none","Vi capsule TLR4 pathogenesis mechanism; not diagnostic","no","no"
"18037781","Peptide mimotopes of complex carbohydrates in Salmonella enterica serovar typhi  which react with both carbohydrate-specific monoclonal antibody and polyclonal sera from typhoid patients.","eng","exclude","none","peptide mimotopes; molecular immunology","no","no"
"18038781","[Sensitivity, specificity and stability of the Tag-primer nested/multiplex PCR  for malaria diagnosis].","chi","exclude","none","malaria PCR; typhoid as control","no","no"
"18051866","[Comparison of immune responses induced by recombinant attenuated Salmonella  typhi carrying eukaryotic expression plasmid or prokaryotic expression plasmid of HCV core protein].","chi","exclude","none","Salmonella vector HCV vaccine immunology","no","no"
"18052869","Antibacterial activity of Thonningia sanguinea against some multi-drug resistant  strains of Salmonella enterica.","eng","exclude","none","plant antibacterial MDR Salmonella test organism","no","no"
"1806885","[Effect of combined use of typhoid vaccine with sexta-anatoxin and the  antimetabolite methotrexate on hematopoiesis in irradiated mice].","rus","exclude","none","Russian; vaccine irradiated mice experiment","no","yes"
"18070030","Translating innate response into long-lasting antibody response by the intrinsic  antigen-adjuvant properties of papaya mosaic virus.","eng","exclude","none","Mouse adjuvant vaccine immunogenicity study","no","no"
"18078119","[An immunoblotting as a method for the diagnosis of typhoid fever].","pol","exclude","none","non-eligible language","no","yes"
"18093138","The isolation, purification and biological activity of a novel antibacterial  compound produced by Pseudomonas stutzeri.","eng","exclude","none","zafrin novel antimicrobial compound screen; not diagnostic","no","no"
"18100525","[Study of an outbreak of typhoid fever; clinical study].","por","exclude","none","non-eligible language","no","yes"
"18100528","[Study of an outbreak of typhoid fever, pathological anatomy].","por","exclude","none","non-eligible language","no","yes"
"18109484","[Concrete aspects of the problem of typhoid fever in Portugal; outbreak of  exceptional intensity boarding; effects of vaccination].","por","exclude","none","non-eligible language","no","yes"
"1813146","Opposite effects of bacterial lipopolysaccharide on Fc-receptor-mediated  phagocytosis of two bone marrow-derived macrophage cell lines, BDM-1 and BDM-1W3.","eng","exclude","none","macrophage phagocytosis mechanism; not typhoid-specific diagnostics","no","no"
"18137298","Studies on bacteriophage; the relationship between the somatic antigens of  Shigella sonnei and their susceptibilitv to bacterial viruses.","eng","exclude","none","shigella bacteriophage study not typhoid","no","no"
"18156266","The LysR-type transcriptional regulator LeuO controls expression of several genes  in Salmonella enterica serovar Typhi.","eng","exclude","none","Gene regulation molecular mechanism study","no","no"
"18166006","Proteomics analysis of the causative agent of typhoid fever.","eng","exclude","none","proteomics; virulence factors","no","no"
"18180816","[Typhoid fever: rise, peak and fall of an infectious disease in Chile].","spa","exclude","none","historical narrative on Chile epidemiology; no diagnostic data","no","no"
"18192390","Molecular characterization of the Salmonella enterica serovar Typhi Vi-typing  bacteriophage E1.","eng","exclude","none","Vi-typing bacteriophage characterization; molecular","no","no"
"18195036","Toll-like receptor 5-deficient mice have dysregulated intestinal gene expression  and nonspecific resistance to Salmonella-induced typhoid-like disease.","eng","exclude","none","mouse TLR5 pathogenesis","no","no"
"18197292","Temporal trends and climatic factors associated with bacterial enteric diseases  in Vietnam, 1991-2001.","eng","exclude","none","enteric disease temporal climate trends no case definition","no","no"
"18212096","Clinical response and outcome of infection with Salmonella enterica serotype  Typhi with decreased susceptibility to fluoroquinolones: a United States foodnet multicenter retrospective cohort study.","eng","exclude","none","Confirmed-case treatment-outcome cohort; no diagnostic counts","no","no"
"18219268","Multistate outbreak of human Salmonella infections associated with exposure to  turtles--United States, 2007-2008.","eng","exclude","none","nontyphoidal Salmonella turtle outbreak; not enteric fever","no","no"
"18226481","Synergistic antibacterial activity between Thymus vulgaris and Pimpinella anisum  essential oils and methanol extracts.","eng","exclude","none","in-vitro antibacterial essential oils; S typhi test organism","no","no"
