Study ID,Outbreak start year,Outbreak end year,Location,Country,Country 3-letter ISO,Admin0_1,Admin0_2,Admin1,WHO region,Diagnostic method,Diagnostic method_1,Diagnostic method_2,Diagnostic method_3,Diagnostic method_4,Diagnostic method_5,Diagnostic method_6,Diagnostic method_7,Diagnostic method_8,Diagnostic method_9,,Suspected/Confirmed/Probable,AMR status,Intervention,Time unit,Start date,End date,Peak date,Intervention date,Case definitions,reporting date(by date of onset / confirmation date / NA),Total suspected cases,Lab tested cases by blood/bone marrow culture,Total confirmed cases,Confirmed cases by blood/ bone marrow culture,Total probable cases,Number of hospitalized,Number of complications,Total deaths,Attack rate (%),CFR (%),Population,Notes
Davis 2018,2016,2017,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,"Blood culture, Faecal culture",Yes,,Yes,,,,,,,,Suspected/Confirmed,CIP,WASH/CHLO,daily,2016-10-06,2017-03-08,2017-01-01,-,"Suspected: an illness that began on or after October 6, 2016, with fever ¡Ã100.4¡ÆF (38¡ÆC), body pains, headache, and abdominal pain.
Confirmed: had blood or stool specimens positive for Salmonella Typhi",Date of onset,860 ,-,80 ,-,-,-,-,4,-,0.5,-,-
Hu 2022,2016,2016,"Lanling, China",China,CHN  ,China,,Lanling,WPR,"Blood culture, Faecal culture",Yes,,Yes,,,,,,,,Suspected/Confirmed,TMP-SMX,water pipes renewed,weekly,2016-01-21,2016-05-30,2016-05-20,-,"Suspected: when a patient had a sustained fever (¡Ã38?C, for more than 3 days) accompanied with headache and fatigue but without other diagnosed cause of fever
Confirmed: when S. Typhi was identified from the blood or stool of a person with suspect typhoid fever.",NA,31 ,31 ,25 ,24 ,-,-,-,-,-,-,-,A total of 31 blood samples and 31 stool samples from patients (n = 31) with suspect typhoid fever were collected to investigate the presence of Salmonella using selective media.
Yousafzai 2019,2016,2017,"Hyderabad, Pakistan",Pakistan,PAK  ,Pakistan,,Hyderabad,EMR,Blood culture,Yes,,,,,,,,,,Confirmed,XDR,CHLO/WASH,weekly,2016-11-30,2017-03-28,2017-03-08,-,"Suspected: any subject with fever for at least 3 days during the last 7 days in the absence of any other focus of infection and living within the household or neighborhood of a confirmed ceftriaxone-resistant typhoid case
Confirmed: defined as having ceftriaxone-resistant S. Typhi on blood culture",NA,101 ,101 ,101 ,101 ,-,60,57,1,-,-,878418,"The total population of Hyderabad is approximately 1.8 million, with the distribution across the 4 talukas as follows: Hyderabad urban (population 564 380), Hyderabad rural (population 450 235), Qasimabad (population 300 609), and Latifabad (population 577 809).

Case-control study and activities were based on identification of culture-proven, ceftriaxone-resistant S. Typhi cases"
Hechaichi 2023,2016,2016,"Gabes, Tunisia",Tunisia,TUN  ,Tunisia,,Gabes,EMR,"Blood, Bone marrow, Bowel fluid, Stool culture",Yes,Yes,Yes,,,,,,,,Confirmed/Probable,susceptible,WASH/EDU,daily,2016-06-23,2016-09-02,2016-07-19,-,"First stage criteria: 
Suspected: a resident or visitor to the delegation of Ghannouche, with onset on or after the beginning of June 2016, who presented at least one of the following signs and symptoms: torpor, diarrhea, constipation, vomiting, and abdominal pain. 
Probable: any suspected case with an epidemiological link to a confirmed case. 
Confirmed: required the biological isolation of S. Typhi from blood, bone marrow, bowel fluid, or stool.

Second stage criteria: 
At the end of the investigation, we grouped those who met the confirmed or probable case definition as people with typhoid fever, and we considered the suspected cases as healthy subjects after negative laboratory results and the subjects carrying S Typhi without clinical signs as asymptomatic carriers",Date of onset,187 ,-,74 ,74 ,-,74,2,0,16.24,-,628,"Of the total 628 persons investigated, 187 persons meet the first case definition criteria; among these, 74 were confirmed, 28 probable, and 85 suspected cases, and the remaining were healthy subjects.

The overall attack rate of typhoid fever was 16.24% (95% CI [13.2?19.3%]).

28 probable cases reported by the authors have been moved to suspected to be to be consistent with WHO guidelines"
N'Cho 2019,2017,2018,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,"Blood, Stool, or Rectal swab culture",Yes,,Yes,,,,,,Yes,,Suspected/Confirmed,CIP,WASH/CHLO/EDU,daily,2017-10-16,2018-02-24,2017-10-30,2018-01-01,"Suspected: the occurrence of fever and at least one of the following symptoms: headache, malaise, abdominal discomfort, vomiting, diarrhea, cough, or constipation.
Confirmed: had Typhi isolated from blood, stool, or rectal swab culture",Date of onset,3187 ,-,191 ,-,-,583,79,0,-,-,-,"Epi curve does not distinguish between suspected and confirmed

Authors reported cultures tested in inpatients, not total: Cultures were processed for 286 (49%) inpatients; 74 (26%) yielded Typhi."
Bano-Zaidi 2018,2017,2018,"Yucatan, Mexico",Mexico,MEX  ,Mexico,,Yucatan,AMR,"Blood, Bone marrow, stool culture, Widal test",Yes,Yes,Yes,,,,Yes,,,,Confirmed/Probable,"AMP, CHL",-,weekly,2017-07-18,2018-05-25,2017-10-10,2017-10-10,"Probable: clinical presentation and negative tests for other differentials, all of them also had positive Widal reactions (>1:320).
Confirmed: positive blood, bone marrow, or stool culture for S Typhi or if they were previously healthy with at least 10 days of fever, gastrointestinal symptoms, and non-traumatic perforation of the distal ileum",NA,110 ,-,66 ,52 ,44 ,110,37,3,-,-,-,"Patients were classified as confirmed cases if they had a positive blood (n=46), bone marrow (n=6), or stool culture (n=4) for S Typhi, or if they were previously healthy with at least 10 days of fever, gastrointestinal symptoms, and non-traumatic perforation of the distal ileum (n=10).
clinical confirmation:"
Makungo 2020,2017,2017,"Makhuduthamaga, South Africa",South Africa,ZAF  ,South Africa,,Makhuduthamaga,AFR,"Blood, Stool, Rectal swabs culture",Yes,,Yes,,,,,,,,Suspected/Confirmed,susceptible,WASH/CHLO/EDU,daily,2017-11-05,2017-12-24,2017-11-19,2017-12-24,"Suspected: any person who resided in Makhuduthamaga Local Municipality and presented with measured fever of +38¡ÆC with acute onset of fever and gastrointestinal symptoms during November and December 2017
Confirmed: a suspected case who had isolation of typhoidal Salmonella serovars from stool or blood specimens",Date of onset,122 ,65 ,7 ,7 ,-,-,-,0,-,-,274358,"Stool (n=6) and rectal swab (n=3) specimen positivity was not explicitly mentioned (inputted as 0 confirmed cases by other lab tests due to this). 

NHLS microbiology laboratory at Pietersburg Provincial Hospital received blood (n = 65), stool (n = 6) and rectal swabs (n = 3) for culture. In addition, blood samples were collected and Widal tests (n = 32) were requested in instances where blood culture bottles were unavailable."
Poncin 2022,2018,2019,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,Blood and Stool culture,Yes,,Yes,,,,,,,,Confirmed or Suspected,-,TCV,weekly,2018-08-26,2019-02-23,2018-12-16,2019-02-01,Does not provide definitions,Date of onset,1967 ,-,-,-,-,-,-,1,-,-,-,"Epi curve does not distinguish between suspected and confirmed cases

In August 2018, another seasonal outbreak began. From 27 August 2018 to 24 February 2019, the MOHCC reported 1,967 suspected and confirmed typhoid cases (Fig. 1) and only one typhoidrelated death.

In Harare, the capital city with an estimated population of 1.8million"
Nimonkar 2022,2019,2019,"Amritsar, India.",India,IND  ,India,,Amritsar,SEAR,Blood culture,Yes,,,,,,,,,,Confirmed,-,-,weekly,2019-03-27,2019-05-14,2019-04-11,2019-05-14,"Suspected: stepladder pattern of fever, headache, rose spots on the trunk, malaise with loss of appetite usually with gastrointestinal symptoms of more than one week duration and having two or more of the following symptoms/signs; toxic look, relative bradycardia, splenic enlargement, or non?productive cough. 
Probable: a case compatible with clinical description and either having Widal test titre of more than or equal to 1:80 or exposure to a confirmed case/carrier/staying in the incriminated barrack during the last three weeks. 
Confirmed: a suspected/probable case that was confirmed by positive blood culture for S typhi.",NA,75 ,75 ,75 ,75 ,-,-,0,0,1.64,-,-,"from Google search of Khasa population, population was estimated 
calculated attack rate with the denominator gives 1.64%.(DK)"
Srinivasan 2022,2019,2019,"Vellore, India",India,IND  ,India,,Vellore,SEAR,Blood culture,Yes,,,,,,,,,,Confirmed,CIP,-,monthly,2019-04-01,2019-06-30,2019-05-01,2019-06-30,"Suspected: Children with fever for 3 days or more met the study surveillance definition of suspected typhoid fever, and received a blood culture. *Did not provide what the ""study surveillance definition"" was*
Confirmed: culture-confirmed [blood]",NA,51 ,51 ,51 ,51 ,-,14,1,-,0.9,-,-,"On computation of the area-wise attack rates for typhoid fever, the rates in Chinnallapuram, Ramnaickanpalayam, Vasanthapuram, and Kaspa were 0.1% (2 of 1,527), 0.7% (10 of 1,516), 1% (8 of 838), and 1.7% (31 of 1,824), respectively, with Kaspa documenting the highest attack rate (Figure 1C).

5705 total people in cohort SEFI, did not report as suspected, not clear"
Wang 2022,2022,2022,"Beijing, China",China,CHN,China,,Beijing,WPR,Blood culture,Yes,,,,,,,,,,Confirmed,XDR,WASH/CHLO,daily,2022-01-22,2022-03-05,2022-02-17,2022-02-01,Confirmed: culture-confirmed [blood and stool],Date of onset & confirmation date,23 ,1 ,23 ,1 ,-,-,-,-,21.7,-,106,"Epi curve plots the confirmed cases twice: once by illness onset date and again by date of case confirmation,
In Time-series data sheet, (1) indicates date of illness onset (2) indicates date of case confirmation"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
