"covidence_id","source_title","authors","publication_year","doi","zotero_pdf","pdf_pages","searchable_characters","record_type","prior_audit_source","summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"#274","Bacterial shedding and serologic responses following an outbreak of Salmonella Typhi in an endemic cohort","Johnston, P. I.; Bogue, P.; Chirambo, A. C.; Mbewe, M.; Prakash, R.; Kandoole-Kabwere, V.; Lester, R.; Darton, T.; Baker, S.; Gordon, M. A.; Meiring, J. E.",2023,"10.1186/s12879-023-08385-8","C:/Users/jonghoon.kim/Zotero/storage/XCZ6SHKN/Johnston et al. - 2023 - Bacterial shedding and serologic responses followi.pdf",8,46995,"post-outbreak cohort","covidence_no_timeseries_ppv_audit.csv","#274","Johnston 2023","Nursing School, Malosa, Malawi","2016","101",,"9",,"24.8","FALSE","FALSE","101/407 nursing-school residents met the clinical case definition for probable typhoid - a clean syndromic frame - but the 9 confirmed cases come from a DIFFERENT, wider population",,,,,"patients","acute phase: blood culture (count of tested NOT reported); follow-up: stool culture + PCR + serology only","Acute definition not printed; the paper says residents 'met the clinical case definition for probable typhoid fever' without stating it. Follow-up used WHO suspected typhoid (self-reported fever >=3 days)","Acute: not reported. Follow-up stool sampling was deliberately non-random - participants in the top and bottom 10% of anti-Vi IgG were approached","No epidemic curve","DENOMINATOR MISMATCH: the 9 blood-culture-confirmed cases were hospital presenters traced across a primary school, a secondary school AND the nursing school - they are not a subset of the 101. 9/101 would be an invalid PPV","unassessable","primary paper reviewed (Zotero XCZ6SHKN); BMC Infect Dis 2023;23:416","not eligible: numerator and denominator are from different populations","not eligible","exclude, but retain for the antibiotic finding","Johnston 2023","CARRIES THE MOST IMPORTANT SIDE-FINDING IN THIS AUDIT: 140/156 (90%) of suspected-typhoid participants had received antibiotics versus 16/212 (7.5%) of non-cases - a 12-fold difference. This quantifies S9 limitation 4 (prior antimicrobial use depresses Se_BC in outbreak settings) with real data. Follow-up recovered ZERO S. Typhi from 49 stool cultures."
"#279","Identification of Multiple Variant Extensively Drug-Resistant Typhoid Infections across Pakistan","Kamal, R.; Ching, C.; Zaman, M. H.; Sultan, F.; Abbas, S.; Khan, E.; Mirza, S.; Nizamuddin, S.",2023,"10.4269/ajtmh.22-0071","C:/Users/jonghoon.kim/Zotero/storage/QG6HAKUQ/Kamal et al. - 2023 - Identification of Multiple Variant Extensively Dru.pdf",8,39485,"genomic isolate series","","#279","Kamal 2023","Pakistan","2018-2020","","","","","","FALSE","FALSE","","","58","","","patients","58 ceftriaxone-resistant S. Typhi clinical isolates","","","","Resistance-selected confirmed-isolate series; no suspected denominator.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Kamal 2023","Genomic diversity study within the continuing Pakistan XDR outbreak."
"#284","Characterization of multidrug-resistant typhoid outbreaks in Kenya","Kariuki, S.; Revathi, G.; Muyodi, J.; Mwituria, J.; Munyalo, A.; Mirza, S.; Hart, C. A.",2004,"10.1128/jcm.42.4.1477-1482.2004","C:/Users/jonghoon.kim/Zotero/storage/XMD7FFY9/Kariuki et al. - 2004 - Characterization of multidrug-resistant typhoid ou.pdf",6,44593,"multi-outbreak isolate typing","covidence_no_timeseries_ppv_audit.csv","#284","Kariuki 2004","Three regions, Kenya","2004",,,"102",,,"FALSE","FALSE","None - an isolate series",,,,,"patients","isolates only","None; 102 S. Typhi isolates characterised by susceptibility, plasmid analysis and PFGE","Not applicable - isolates, not patients","not assessed","No denominator of any kind","unassessable","primary Zotero full text screened (Kariuki et al. - 2004 - Characterization of multidrug-resistant typhoid ou.pdf)","not eligible: isolate series","not eligible","exclude","Kariuki 2004","Molecular characterisation of 102 isolates from Kenyan outbreaks. No case series, no denominator."
"#287","Multidrug-resistant typhoid fever outbreak in travelers returning from Bangladesh","Kato, Y.; Fukayama, M.; Adachi, T.; Imamura, A.; Tsunoda, T.; Takayama, N.; Negishi, M.; Ohnishi, K.; Sagara, H.",2007,"10.3201/eid1312.070422","C:/Users/jonghoon.kim/Zotero/storage/B5JQCPES/Kato et al. - 2007 - Multidrug-resistant typhoid fever outbreak in trav.pdf",2,17244,"small traveler outbreak","covidence_no_timeseries_ppv_audit.csv","#287","Kato 2007","Tokyo, Japan (exposure: Dhaka, Bangladesh)","2004","8","8","6","0.75","62","FALSE","FALSE","8 tour participants with fever >38 C for >3 days, defined independently of culture","8","6","0.75","1","patients","BLOOD culture only; stool mentioned only post-treatment for carriage","Confirmed = fever >38 C for >3 days AND a positive blood culture for S. Typhi; probable = fever >38 C for >3 days WITHOUT isolation of S. Typhi","Not reported. All 8 were admitted across 5 Tokyo hospitals. The 'probable' definition ('without isolation') implies culture was attempted and failed, but this is never stated","No figure, but the table is a full line list with individual onset dates","Syndromic frame is defined independently of culture - rare and valuable - but blood_tested=8 is INFERRED from the probable-case wording, not reported","low","primary paper reviewed (Zotero B5JQCPES); Emerg Infect Dis 2007;13:1954-1955","not eligible under the n>=20 rule (n=8)","candidate on structure, fails on size","sensitivity only (fails n>=20)","Kato 2007","6/8 = 75%. Returning-traveler cohort of 13 (attack rate 62%), non-endemic host population, point-source - a different estimand from endemic community surveillance. Structurally clean but tiny."
"#288","An outbreak of typhoid Fever in Florida associated with an imported frozen fruit","Katz, D. J.; Cruz, M. A.; Trepka, M. J.; Suarez, J. A.; Fiorella, P. D.; Hammond, R. M.",2002,"10.1086/341208","C:/Users/jonghoon.kim/Zotero/storage/2BB43G9Q/Katz et al. - 2002 - An outbreak of typhoid Fever in Florida associated.pdf",6,41049,"small outbreak investigation","","#288","Katz 2002","Florida, USA","1998-1999","16","","","","","FALSE","FALSE","15 confirmed and 1 probable case identified through surveillance","","","","","patients","stool, blood or urine culture pooled in the confirmed-case definition","","","","Specimen-specific tested and positive counts are not reported; case finding is confirmation-driven.","critical","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Katz 2002","The 15/16 confirmation fraction is not blood-culture positivity and must not enter the PPV model."
"#294","Typhoid Fever in South Africa in an Endemic HIV Setting","Keddy, K. H.; Sooka, A.; Smith, A. M.; Musekiwa, A.; Tau, N. P.; Klugman, K. P.; Angulo, F. J.",2016,"10.1371/journal.pone.0164939","C:/Users/jonghoon.kim/Zotero/storage/WJX9IAM5/Keddy et al. - 2016 - Typhoid Fever in South Africa in an Endemic HIV Se.pdf",12,67889,"confirmed-case surveillance","covidence_no_timeseries_ppv_audit.csv","#294","Keddy 2016","South Africa (nationwide)","2003-2013",,,,,,"FALSE","FALSE","None - surveillance for CULTURE-CONFIRMED typhoid only",,,,,"patients","blood culture (confirmed cases only)","Nationwide active laboratory-based surveillance for culture-confirmed typhoid fever","Confirmed-case surveillance; no suspected frame captured","not assessed","pi = 1 by construction: only confirmed cases enter","unassessable","primary Zotero full text screened (Keddy et al. - 2016 - Typhoid Fever in South Africa in an Endemic HIV Se.pdf)","not eligible: confirmed-case surveillance","not eligible","exclude","Keddy 2016","Incidence and mortality in an endemic HIV setting. No syndromic denominator."
"#298","A review of toolkits and case definitions for detecting enteric fever outbreaks in Asian and African countries from 1965-2019","Khaliq, A.; Yousafzai, M. T.; Haq, S.; Yaseen, R.; Qureshi, S.; Rind, F.; Padhani, Z. A.; Khan, A.; Kazi, A. M.; Qamar, F. N.",2021,"10.7189/jogh.11.04031","C:/Users/jonghoon.kim/Zotero/storage/6BYAZ6T7/Khaliq et al. - 2021 - A review of toolkits and case definitions for dete.pdf",12,82688,"systematic review","","#298","Khaliq 2021","Asia and Africa","1965-2019","","","","","","FALSE","FALSE","","","","","","patients","","","","","Systematic review of outbreak definitions/toolkits, not a primary outbreak series.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Khaliq 2021","Potential source-discovery resource; extract primary reports rather than treating the review as an observation."
"#307","Case Report: An Outbreak of Food-Borne Typhoid Fever Due to Salmonella enterica Serotype Typhi in Japan Reported for the First Time in 16 Years","Kobayashi, T.; Kutsuna, S.; Hayakawa, K.; Kato, Y.; Ohmagari, N.; Uryu, H.; Yamada, R.; Kashiwa, N.; Nei, T.; Ehara, A.; Takei, R.; Mori, N.; Yamada, Y.; Hayasaka, T.; Kagawa, N.; Sugawara, M.; Suzaki, A.; Takahashi, Y.; Nishiyama, H.; Morita, M.; Izumiya, H.; Ohnishi, M.",2016,"10.4269/ajtmh.15-0484","C:/Users/jonghoon.kim/Zotero/storage/I985QLEY/Kobayashi et al. - 2016 - Case Report An Outbreak of Food-Borne Typhoid Fev.pdf",3,28121,"small outbreak case report","appiah2020_unique_outbreak_ppv_audit.csv","#307","Kobayashi 2016","Tokyo, Japan","2014","8",,,,,"FALSE","FALSE","Eight outbreak-linked culture-positive patients, including the index food handler","8","8","1.000","1.000","patients","blood culture in all eight reported patients","Patients entered the report after blood-culture confirmation","not assessed","not assessed","Confirmation-defined denominator; 8/8 is not PPV among independently ascertained suspects.","critical","primary Zotero full text screened (Kobayashi et al. - 2016 - Case Report An Outbreak of Food-Borne Typhoid Fev.pdf)","exclude: n<20","exclude: n<20","exclude","Kobayashi 2016","Complete culture among reported cases does not overcome incorporation bias because the case series itself is defined by positive culture."
"#328","[Notes about other epidemics in Colonial Chile]","Laval, E.",2015,"10.4067/s0716-10182015000600014","C:/Users/jonghoon.kim/Zotero/storage/7K4THMS9/Laval - 2015 - Notas sobre otras epidemias en el Chile colonial.pdf",3,14131,"historical review","","#328","Laval 2015","Colonial Chile","historical","","","","","","FALSE","FALSE","","","","","","patients","","","","","Historical narrative, outside the modern outbreak and diagnostic period.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Laval 2015","No modern blood-culture observation."
"#351","Typhoid fever outbreak associated with frozen mamey pulp imported from Guatemala to the western United States, 2010","Loharikar, A.; Newton, A.; Rowley, P.; Wheeler, C.; Bruno, T.; Barillas, H.; Pruckler, J.; Theobald, L.; Lance, S.; Brown, J. M.; Barzilay, E. J.; Arvelo, W.; Mintz, E.; Fagan, R.",2012,"10.1093/cid/cis296","C:/Users/jonghoon.kim/Zotero/storage/X55ZAMP5/Loharikar et al. - 2012 - Typhoid fever outbreak associated with frozen mame.pdf",6,42074,"small outbreak investigation","appiah2020_unique_outbreak_ppv_audit.csv","#351","Loharikar 2012","Nevada, California and Oregon, USA","2010","12",,,,,"FALSE","FALSE","Twelve cases defined by recovery of the outbreak S. Typhi strain",,,,,"patients","positive clinical specimens; patient specimen types not disaggregated","Illness with a specimen yielding the outbreak strain","not assessed","not assessed","Culture-confirmed case definition and no number of clinically suspected persons tested.","critical","primary Zotero full text screened (Loharikar et al. - 2012 - Typhoid fever outbreak associated with frozen mame.pdf)","not assessed","not assessed","exclude","Loharikar 2012","All 12 are confirmation-defined PulseNet cases; there is no blood-culture-tested suspect denominator."
"#398","Temporal, spatial and household dynamics of Typhoid fever in Kasese district, Uganda","Mirembe, B. B.; Mazeri, S.; Callaby, R.; Nyakarahuka, L.; Kankya, C.; Muwonge, A.",2019,"10.1371/journal.pone.0214650","C:/Users/jonghoon.kim/Zotero/storage/6ZWU9I6G/Mirembe et al. - 2019 - Temporal, spatial and household dynamics of Typhoi.pdf",17,93528,"retrospective case-record study","","#398","Mirembe 2019","Kasese District, Uganda","2013-2015","134","","","","","FALSE","FALSE","134 hospital records requiring compatible symptoms plus blood culture or Widal confirmation","","","","","patients","blood culture or Widal, not disaggregated","Clinical symptoms plus either blood-culture or Widal evidence","","","Testing routes are pooled and counts cultured/positive by blood are absent.","critical","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Mirembe 2019","The hospital dataset is useful for spatial epidemiology but cannot yield blood-culture PPV."
"#401","Outbreak of Multi-drug Resistant Salmonella Typhi Enteric Fever in Mumbai Garrison","Misra, R. N.; Bawa, K. S.; Magu, S. K.; Bhandari, S.; Nagendra, A.; Menon, P. K.",2005,"10.1016/s0377-1237(05)80011-5","C:/Users/jonghoon.kim/Zotero/storage/H4FGW7L2/Misra et al. - 2005 - Outbreak of Multi-drug Resistant Salmonella Typhi .pdf",3,16560,"outbreak clinical series","","#401","Misra 2005","Mumbai military garrison, India","2000","150","150","92","0.613","","FALSE","FALSE","150 admitted patients with typical clinical features of enteric fever during the outbreak","150","92","0.613","1.000","patients","blood culture; Widal reported separately; three additional bone-marrow confirmations mentioned","Typical clinical presentation in an epidemic setting; all patients had more than eight days of fever","Hospital-admission and clinical-suspicion gate; testing of all 150 is inferred from the reported 92/150 percentage and methods wording","Single November-December 2000 garrison outbreak","Compatible within the admitted clinical frame, but not representative of all community suspects.","moderate within admitted frame; high for community transport","primary full text reviewed (Zotero H4FGW7L2)","eligible on counts (92/150)","candidate with explicit severity-selection caveat","sensitivity only (hospital-admitted denominator)","Misra 2005 Mumbai garrison","New numeric observation. Blood positivity is 92/150=61.3%, not the Widal-positive 83/150. The very high yield and admission gate make it unsuitable as a general community PPV anchor."
"#416","Typhoid fever in children in Africa","Mweu, E.; English, M.",2008,"10.1111/j.1365-3156.2008.02031.x","C:/Users/jonghoon.kim/Zotero/storage/BJLUFJDI/Mweu and English - 2008 - Typhoid fever in children in Africa.pdf",9,93239,"narrative review","","#416","Mweu 2008","Africa","","","","","","","FALSE","FALSE","","","","","","patients","","","","","Review of pediatric typhoid epidemiology and clinical features; no unique outbreak testing frame.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Mweu 2008","Use cited primary studies for any diagnostic-yield data."
"#429","Continued Outbreak of Ceftriaxone-Resistant Salmonella enterica Serotype Typhi across Pakistan and Assessment of Knowledge and Practices among Healthcare Workers","Nizamuddin, S.; Ching, C.; Kamal, R.; Zaman, M. H.; Sultan, F.",2021,"10.4269/ajtmh.20-0783","C:/Users/jonghoon.kim/Zotero/storage/U5IDV35N/Nizamuddin et al. - 2021 - Continued Outbreak of Ceftriaxone-Resistant Salmon.pdf",6,39483,"laboratory surveillance and healthcare-worker survey","","#429","Nizamuddin 2021","Pakistan","2017-2019","","","","","","FALSE","FALSE","","","","","","patients","blood-culture-confirmed S. Typhi cases from a laboratory network","","","","No total suspected patients or blood cultures submitted; resistance proportions use confirmed S. Typhi as denominator.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Nizamuddin 2021","Laboratory surveillance of the continuing XDR outbreak, not a clinical PPV observation."
"#432","Typhoid Vi-conjugate vaccine for outbreak control in Zimbabwe","Olaru, I. D.; Mtapuri-Zinyowera, S.; Feasey, N.; Ferrand, R. A.; Kranzer, K.",2019,"10.1016/s1473-3099(19)30425-6","C:/Users/jonghoon.kim/Zotero/storage/6ZFKA7Z6/Olaru et al. - 2019 - Typhoid Vi-conjugate vaccine for outbreak control .pdf",1,11612,"outbreak febrile-surveillance correspondence","","#432","Olaru 2019","Harare, Zimbabwe","2018-2019","226","226","41","0.181","","FALSE","FALSE","226 pre-vaccination blood cultures from febrile children and adults enrolled at Harare health facilities","226","41","0.181","","blood cultures (patient uniqueness not stated in the correspondence)","automated blood culture; children 23/109 and adults 18/117 before vaccination","FIEBRE participants presenting with fever; broader than a suspected-typhoid clinical definition","Health-facility attendance and FIEBRE study enrollment; the correspondence does not give the full enrollment denominator or eligibility details","Pre-vaccination subset during an ongoing outbreak; post-vaccination results were 20/90 overall","Numerator and denominator align for blood-culture yield, but the target is febrile attendees rather than suspected typhoid cases.","moderate; major target-population mismatch","primary correspondence reviewed (Zotero HNACSRKC)","eligible as febrile blood-culture yield, not as clinical-definition PPV","candidate only in a broad-fever structural sensitivity analysis","sensitivity only (broad febrile frame)","Harare FIEBRE 2018-2019","New numeric observation. Pre-vaccination total is reconstructed exactly: 23/109 children + 18/117 adults = 41/226 (18.1%). Across all periods the correspondence reports 61/316; post-vaccination is 20/90 and should not be pooled with the pre-vaccination outbreak frame."
"#436","Restaurant-associated outbreak of Salmonella typhi in Nauru: an epidemiological and cost analysis","Olsen, S. J.; Kafoa, B.; Win, N. S.; Jose, M.; Bibb, W.; Luby, S.; Waidubu, G.; O'Leary, M.; Mintz, E.",2001,"10.1017/s0950268801006033","C:/Users/jonghoon.kim/Zotero/storage/L4NVG5MI/Olsen et al. - 2001 - Restaurant-associated outbreak of Salmonella typhi.pdf",8,51993,"outbreak investigation","appiah2020_unique_outbreak_ppv_audit.csv","#436","Olsen 2001","Republic of Nauru","1998-1999","50","19","9",,"0.5","FALSE","FALSE","50 met the clinical case definition; 19 had ANY specimen tested, 31 had none",,"9",,"0.38","patients","blood, stool and urine pooled in the confirmed definition; blood-specific positives reported separately (9 of 19)","Fever for >=3 days since 1 Oct 1998 plus >=1 of chills, sweats, headache, anorexia, malaise, weakness, diarrhoea, constipation, abdominal pain, cough, vomiting, in a resident of Nauru","Not reported as a clinical rule. Case-finding was retrospective and lab-record-driven: entry was via a positive culture OR a Widal screening record OR Typhoid-Committee recall, so the tested group is by construction the group that reached laboratory attention","Monthly epidemic curve available (Fig 1, 7 bars, confirmed vs clinical)","The 19 is ANY-specimen tested, not blood; a blood-tested denominator is absent. Only 9 of 50 clinical cases would have been blood-confirmed","high","primary paper reviewed (Zotero L4NVG5MI)","not eligible: tested denominator is any-specimen, not blood","not eligible","exclude","Olsen 2001","ALL 19 TESTED WERE POSITIVE (100% positivity, no test-negatives reported). That is diagnostic of non-systematic ascertainment: a systematically cultured suspect series would produce negatives. This is the clearest empirical illustration of the proposed exclusion rule (positivity >= Se_BC is unattainable for any admissible pi). No vaccination occurred; Vi appears only in a hypothetical cost model."
"#460","Outbreak of typhoid fever on the French Riviera","Pradier, C.; Keita-Perse, O.; Bernard, E.; Gisbert, C.; Vezolles, M. J.; Armengaud, A.; Carles, D.; Grimont, F.; Desenclos, J. C.; Dellamonica, P.",2000,"10.1007/s100960000300","C:/Users/jonghoon.kim/Zotero/storage/3IMX82CP/Pradier et al. - 2000 - Outbreak of typhoid fever on the French Riviera.pdf",4,19984,"outbreak investigation","appiah2020_unique_outbreak_ppv_audit.csv","#460","Pradier 2000","Utelle, Alpes-Maritimes, France","1997","26","26","12","0.462",,"FALSE","FALSE","26 patients ADMITTED TO HOSPITAL with symptoms suggesting typhoid; 250 symptomatic community members never cultured","26","12","0.462","1","patients","blood AND stool AND Widal; the 12/26 blood-only split is separately reported","No suspected definition; the frame is 26 hospital admissions with symptoms suggesting typhoid after staying in Utelle 14-18 Aug 1997","SEVERITY/ADMISSION GATE. The denominator is hospital admissions only. A far larger symptomatic pool was never cultured: 250 people reported transient diarrhoea within 72h of the exposure and none were tested","Daily epidemic curve available (Fig 1, one block per person)","Blood denominator is INFERRED (12 positive + 2 stool-only + 1 Widal-only + 11 probable with negative blood = 26), not stated verbatim. Frame is admitted patients, not community suspected cases","high","primary paper reviewed (Zotero 3IMX82CP)","eligible on counts (12/26) but the denominator is severity-selected","candidate with explicit severity-selection mechanism","sensitivity only (hospital-admitted denominator)","Pradier 2000","Blood-only 12/26 = 46.2%; the pooled 15/26 (blood+stool+Widal) must NOT be used as a blood numerator. The 250 uncultured symptomatic callers are the community pool, so the true community PPV would be far lower - this is an upper bound. 3 of 26 were admitted outside the Nice catchment, so testing practice was not uniform. Banquet cohort of 350."
"#468","Investigation into a community outbreak of Salmonella Typhi in Bengaluru, India","Purighalla, S.; Esakimuthu, S.; Reddy, M.; Seth, T.; Patil, S. D.; Varghese, G. K.; Dasarathy, R.; Richard, V. S.; Sambandamurthy, V. K.",2017,"10.4103/ijmr.IJMR_1201_16","C:/Users/jonghoon.kim/Zotero/storage/TKZHANV6/Purighalla et al. - 2017 - Investigation into a community outbreak of Salmone.pdf",8,42297,"outbreak isolate series","appiah2020_unique_outbreak_ppv_audit.csv","#468","Purighalla 2017","Bengaluru (HSR Layout), Karnataka, India","2015-2016","24",,"24",,,"FALSE","FALSE","None - isolates were collected consecutively from the laboratory",,"24",,,"patients","BLOOD culture only (20 mL, BD Phoenix)","None. Cases are defined by isolate recovery: 24 S. Typhi isolates collected consecutively from blood cultures","Not reported. Clinician-ordered culture at a private tertiary hospital; the paper never states who was cultured or how many","No figure, but per-isolate dates of isolation are tabulated, so a confirmed-case series is reconstructable","No denominator of any kind: this is a lab isolate series, not a case series","unassessable","primary paper reviewed (Zotero TKZHANV6)","not eligible: confirmed-case series with no denominator","not eligible","exclude","Purighalla 2017","Molecular typing (ERIC-PCR) paper, not an epidemiological investigation: no case definition, no line list, no case-finding. Table has internal date errors contradicting the stated Dec 2015-Mar 2016 window (entries dated 2015 and Oct 2016)."
"#475","Emergence of multidrug-resistant Salmonella enterica serotype Typhi with decreased ciprofloxacin susceptibility in Bangladesh","Rahman, M.; Siddique, A. K.; Shoma, S.; Rashid, H.; Salam, M. A.; Ahmed, Q. S.; Nair, G. B.; Breiman, R. F.",2006,"10.1017/s0950268805004759","C:/Users/jonghoon.kim/Zotero/storage/DQUBMS9E/Rahman et al. - 2006 - Emergence of multidrug-resistant Salmonella enteri.pdf",6,39916,"long-term isolate surveillance","","#475","Rahman 2006","Dhaka, Bangladesh","1989-2002","","","","","","FALSE","FALSE","","","3928","","","patients","3,928 blood-culture S. Typhi isolates","","","","No total patients cultured; long-term sporadic surveillance rather than a discrete outbreak.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Rahman 2006","Resistance-trend study; isolate total is not a blood-culture-tested denominator."
"#484","Emergence of Resistance to Fluoroquinolones and Third-Generation Cephalosporins in Salmonella Typhi in Lahore, Pakistan","Rasheed, F.; Saeed, M.; Alikhan, N. F.; Baker, D.; Khurshid, M.; Ainsworth, E. V.; Turner, A. K.; Imran, A. A.; Rasool, M. H.; Saqalein, M.; Nisar, M. A.; Fayyaz Ur Rehman, M.; Wain, J.; Yasir, M.; Langridge, G. C.; Ikram, A.",2020,"10.3390/microorganisms8091336","C:/Users/jonghoon.kim/Zotero/storage/GFERE64X/Rasheed et al. - 2020 - Emergence of Resistance to Fluoroquinolones and Th.pdf",9,40144,"genomic isolate series","","#484","Rasheed 2020","Lahore, Pakistan","2019-2020","","","","","","FALSE","FALSE","","","27","","","patients","27 XDR S. Typhi isolates","","","","Confirmed-isolate genomic series; no suspected denominator.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Rasheed 2020","Not an outbreak PPV observation."
"#487","Sexual transmission of typhoid fever: a multistate outbreak among men who have sex with men","Reller, M. E.; Olsen, S. J.; Kressel, A. B.; Moon, T. D.; Kubota, K. A.; Adcock, M. P.; Nowicki, S. F.; Mintz, E. D.",2003,"10.1086/375590","C:/Users/jonghoon.kim/Zotero/storage/CZSD4K5R/Reller et al. - 2003 - Sexual transmission of typhoid fever a multistate.pdf",4,23088,"small outbreak investigation","appiah2020_unique_outbreak_ppv_audit.csv","#487","Reller 2003","Ohio, Kentucky and Indiana, USA","2000","9",,,,,"FALSE","FALSE","Seven culture-confirmed and two probable outbreak-linked patients",,"",,,"patients","blood or stool culture pooled for confirmed cases","not assessed","not assessed","not assessed","No number of independently suspected persons cultured and no blood-specific denominator.","critical","primary Zotero full text screened (Reller et al. - 2003 - Sexual transmission of typhoid fever a multistate.pdf)","exclude: n<20","exclude: n<20","exclude","Reller 2003","Small confirmation-driven multistate outbreak; specimen-specific PPV cannot be recovered."
"#496","Extended-spectrum beta-lactamases producing extensively drug-resistant Salmonella Typhi in Punjab, Pakistan","Saeed, M.; Rasool, M. H.; Rasheed, F.; Saqalein, M.; Nisar, M. A.; Imran, A. A.; Tariq, S.; Amir, A.; Ikram, A.; Khurshid, M.",2020,"10.3855/jidc.12049","C:/Users/jonghoon.kim/Zotero/storage/MGGYMVQP/Saeed et al. - 2020 - Extended-spectrum beta-lactamases producing extens.pdf",8,48810,"isolate resistance study","","#496","Saeed 2020","Lahore, Punjab, Pakistan","2018","","","","","","FALSE","FALSE","","","82","","","patients","82 S. Typhi isolates from febrile children","","","","All analytic records are positive isolates; number of suspected children cultured is absent.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Saeed 2020","The reported 35/82 is the XDR fraction, not typhoid blood-culture positivity."
"#528","Outbreak of Salmonella Typhi enteric fever in sub-urban area of North India: a public health perspective","Singla, N.; Bansal, N.; Gupta, V.; Chander, J.",2013,"10.1016/s1995-7645(13)60017-6","C:/Users/jonghoon.kim/Zotero/storage/HHKP6AWB/Singla et al. - 2013 - Outbreak of Salmonella Typhi enteric fever in sub-.pdf",2,13987,"outbreak isolate series","","#528","Singla 2013","Chandigarh, India","2009-2010","","","","","","FALSE","FALSE","","","18","","","patients","18 outbreak-area blood-culture isolates (27 S. Typhi isolates laboratory-wide)","","","","No total blood cultures or suspected patients; retrospective isolate cluster.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Singla 2013","Do not use 18/27 as PPV: 27 is the number of positive S. Typhi isolates in the laboratory window, not the number tested."
"#550","A common-source water-borne outbreak of multidrug-resistant typhoid fever in a rural Thai community","Swaddiwudhipong, W.; Kanlayanaphotporn, J.",2001,"","C:/Users/jonghoon.kim/Zotero/storage/KB9PGSJH/Swaddiwudhipong and Kanlayanaphotporn - 2001 - A common-source water-borne outbreak of multidrug-.pdf",6,888,"outbreak investigation","appiah2020_unique_outbreak_ppv_audit.csv","#550","Swaddiwudhipong 2001","Rural village, Poppra District, Tak Province, Thailand (Thai-Myanmar border)","1999","11","10","5","0.5",,"FALSE","FALSE","11 suspected cases identified by active village surveillance, defined independently of culture result","10","5","0.5","0.909","patients","BLOOD (hemoculture) only for cases; stool used solely to screen contacts","Fever for >=3 days plus >=3 of abdominal pain, diarrhoea/constipation, nausea/vomiting, malaise/headache, rose spots, splenomegaly, with no other pathogen identified such as malaria","Near-complete testing of the syndromic frame: hemoculture performed in 10 of 11 suspected cases. Active village surveillance, not severity- or admission-gated. The basis for the single untested case is not reported","No epidemic curve; onset range only (31 Oct - 11 Nov 1999)","COMPATIBLE: an explicit syndromic denominator defined independently of culture, with a blood-only numerator and denominator","low","primary paper reviewed (Zotero KB9PGSJH)","not eligible under the current n>=20 rule (n=10), but methodologically the cleanest new candidate found","candidate: the only new study whose tested group plausibly represents its suspected frame","sensitivity only (fails n>=20)","Swaddiwudhipong 2001","THE CLEANEST NEW CANDIDATE. Blood-only PPV 5/10 = 50.0%, stated verbatim by the authors, with a 90.9% tested fraction and an active-surveillance denominator - the only one of eleven that approaches the target estimand. Fails only on size. Village population 749; 1 death (CFR 9.1%). Note positivity 0.50 approaches Se_BC (~0.62), implying pi near 0.8, consistent with an exposure-linked point-source frame rather than community surveillance."
